gene,logFC,pvalue
TNFRSF14,0.7863702421354821,7.703803377933667e-05
RPL18,-0.6034821905781032,7.871508481969929e-05
ICAM2,0.7716740679109062,8.141650373807352e-05
IL2RG,1.922316295719288,8.18767626312832e-05
JTB,0.4563267422406127,8.275075473644827e-05
KMO,1.2944298122506792,8.379056983569857e-05
P2RX6,-1.693315483296983,8.393400630215193e-05
MALT1,1.0377210740523628,8.435092219149777e-05
SRRM2,-1.4891238685357866,8.449386208181063e-05
PRKACB,0.9947230459008248,8.513101255531215e-05
LRP1,-0.8210148289298687,8.607780489128426e-05
LTBP4,-3.015820590045756,8.687871517652414e-05
PANK2,0.5727125421588415,8.845751468801665e-05
UBE2L6,0.8725938479163933,8.977302720339411e-05
B4GALT2,-0.5010404662321548,9.13134031911958e-05
HSF1,-0.7105203711875001,9.256109751012242e-05
IGLL3P,2.9866518312442967,9.303721850032628e-05
STX16,-1.7046471382924109,9.457786445693572e-05
KLK2,-1.6517101440237258,9.614456281008534e-05
CD79A,2.590209532880465,9.702379676824896e-05
GLOD4,0.439438915911353,0.0001010739676792
GIMAP4,1.3195823009989152,0.0001030866755557
LRRC42,0.5106749347173434,0.0001073495310525
SAT1,-0.7501269485564936,0.0001083464245596
RAB3GAP1,-0.6710430392216038,0.000108448670452
TRIM21,0.6683962217198065,0.0001099144647106
TNFRSF17,4.678212713711861,0.0001100870461935
IGLL5,3.142280008049113,0.0001115928389783
TUBGCP2,-1.1791805754065212,0.0001118694505237
SLAMF8,2.575125942012844,0.000111885570734
FBXW11,-0.8231689247478595,0.0001128639627864
ADRBK1,-1.3721934074360451,0.0001128684690683
SYT11,0.7832114245528672,0.0001138125370678
IFI16,-1.2783892173196951,0.000114435466072
EPAS1,-1.8965689131072183,0.0001153126741471
TRAT1,3.058240914655591,0.0001163958774497
HLA-DOB,2.841359360117888,0.0001164656694724
CD79B,1.4200653423607212,0.0001207402184613
TCHH,-1.3696482394338778,0.0001241111442946
RPL14,-1.9179930051925496,0.0001246441067323
PPAP2B,-1.663634870903273,0.0001257872067806
LY75,1.1912616487318122,0.0001260594643355
THAP3,-1.5647183265535385,0.0001262118117522
IL1R1,-2.6750245762401983,0.0001266539145419
BRD7,0.3675121796481253,0.0001278599983119
TBC1D9,1.0963184167448414,0.0001291919593377
RBM25,-1.0573863516663229,0.0001298405801539
BTN2A2,1.4607624238118158,0.0001320926244922
RTN1,0.9657274880063316,0.0001325641890345
BMP6,-0.7733777223961638,0.0001334806763278
PDK3,2.3702870703131964,0.0001344869913382
EGFR,-1.4167845553093787,0.0001346104036249
FXR1,-0.6484579698498756,0.000135695125692
ILF3,-2.0920890076731933,0.0001361912890406
ATXN7L3B,-1.6100164920584978,0.0001403229657086
LRCH1,-1.7153009381561013,0.0001432067129252
GGH,1.0754710762173838,0.000144297660874
FKBP5,-4.0405505742546985,0.0001457624506826
OBFC1,0.7227841358238773,0.0001466141615858
CELF1,-1.6012044688201843,0.0001486668182939
CSF2,-1.2656735168849815,0.0001493790892341
TRBC1,2.29899523262626,0.0001496890222902
CBFA2T3,0.8138265503194582,0.000153134980131
SLC12A8,1.3567666922525836,0.0001538020439622
LGALS2,2.3824163002435776,0.0001552613523558
ELOVL2,2.082330805829569,0.0001556740804945
WIZ,-1.5544176253100952,0.0001565375790948
TXNDC15,0.6993091254249961,0.000157939777516
CAMTA1,1.637433418450354,0.000158024588218
GAS8,-0.9976113822452516,0.0001611442219485
LAX1,1.6460284004568049,0.0001647816426165
KCNJ3,1.619153917959633,0.0001683680523714
FNDC4,-2.091651961098289,0.0001709709273723
NADK,-1.5434209697291763,0.0001725969616352
TNFRSF4,2.1582455033236805,0.0001730482912159
ADCY2,-2.4722636356450884,0.0001755367449014
IL15RA,0.8730600339182821,0.0001762459160966
PIK3CB,0.8678207384026777,0.0001787251409835
TMEM156,2.201953407746146,0.0001788466132588
Y16709,-0.4682943305964109,0.0001802041386205
SEPT9,-3.0023340660282245,0.0001820552113774
ATP6V0E1,-1.1206422975549346,0.0001822280705798
PRKACA,-1.6728562307857135,0.0001828751632015
CCNB1,0.9918077565379216,0.0001836966461025
SECISBP2L,-0.8649564115730071,0.0001842093443199
OAS2,0.967010124241174,0.0001845025188884
TOX,1.6299355931993151,0.0001868637174835
ZFP64,0.7132002775812323,0.0001884490003277
RFTN1,0.8596873412041628,0.0001898229526302
