gene,logFC,pvalue
THNSL2,-0.5596393127365138,0.001180773333121149
NEK9,-1.6146713726995614,0.0011820473566462877
FLOT2,-1.382523875047938,0.0011835526478046528
TSR2,-0.4207664060477345,0.001193153885343025
ITK,1.8046909272584504,0.001201616118885612
SLC4A7,1.772859169848114,0.0012037432498274432
TRAF3IP3,2.33314987530097,0.0012130282826934486
AKAP8,-0.472069017762351,0.0012191402478409353
IGJ,3.436571420679872,0.0012271684968525793
NDUFS3,0.30844995687737686,0.001227311624606218
CRTAM,1.9224005201925616,0.0012276418586966327
GUSBP11,1.963945095384787,0.0012344352089064738
RHOH,1.959472966667592,0.0012419036057814026
TRIM3,-1.8540439108000397,0.0012527590767859834
RAD51AP1,1.2284376425815902,0.0012596309621627575
PRRC2A,-0.7514723248971142,0.0012598065664537435
PAM16,-0.40824987601030926,0.0012669893827835157
TPSAB1,-1.8625396452268088,0.0012759120101761138
CASC3,-0.431167549854802,0.0012854038031616106
RP1-6P5.2,-0.7157379482208972,0.0012891117798466496
