gene,logFC,pvalue
STAT6,-0.6603946218260566,0.0005548072030556
PRKACA,-1.619650410990146,0.000556325036354
MYBL1,1.674285915046422,0.0005596619331526
SMAD3,-1.0396910849789789,0.0005639089407673
MS4A1,2.665402740852599,0.0005639731388359
LARS,-0.6631430541113854,0.0005699087008605
STK11,-0.595600433285,0.0005748312326233
TPK1,0.6228339053242937,0.0005796103005056
RFX5,0.887199501452498,0.0005841286028443
IL23A,1.864752293416502,0.0005843953306253
GJB1,-1.2397640797632414,0.0005853582591601
DCP2,0.7157519047608609,0.0005875821723505
SMCO4,0.7944644475653906,0.0005882575433099
HPGDS,-1.183446845853933,0.0005886797488144
UBXN4,-1.1309332765440914,0.0005904333016584
UBE2G2,-0.9259546519113852,0.0006005746716123
EEF1A1,-0.2321484261619151,0.0006017435151168
MCFD2,-0.7333310931575294,0.0006096305680695
PSG2,1.2848764126700871,0.0006130313945847
PXDC1,-0.5726887149186748,0.0006147667835711
GATAD1,-0.9997958112167584,0.0006201589724146
GBP1,1.4330273880775852,0.0006227359757875
SEMA4G,-0.9802511704908734,0.0006325968677138
KCNF1,-1.6104733229498405,0.0006356936491928
PSMB10,1.0361002318332844,0.0006433067066128
MAT2B,0.3359386393838264,0.0006439593600588
GSS,0.4907858404210063,0.0006531008133911
CCNA2,2.089233565012072,0.0006535071115239
WNT5A,1.3985986206331074,0.0006730579506259
IGHG1,2.735869766980551,0.0006790964735115
GTF3C2,-0.8668258682306718,0.0006811739824096
CDCA4,-0.3840794708075155,0.0006814443841966
SFT2D2,0.6558832923466555,0.0006859098531181
GOT2,0.3818350972387314,0.0006887868856815
TPP1,-1.384967705982179,0.0006899840307048
GTF2IRD1,-0.8443984323047751,0.0006914053520371
NKG7,3.330868684711118,0.0006943410788953
SLAMF1,1.3879068916209034,0.0007068420203072
CALM1,0.9905032147954236,0.0007160500796819
CASP8AP2,0.5101192703318702,0.0007242517188066
RAB29,0.523052249257848,0.0007257616643494
AC068039.4,-0.6511735081927243,0.0007285328119058
RPS10,-0.5014055139053992,0.0007333627695571
COPA,-1.260129096155581,0.0007346695413784
MTIF2,0.5013352122011785,0.0007377375612341
SRRM1,-0.7537424234265826,0.0007628647541177
TOB2,-0.6080016457087041,0.0007659019422476
SRSF5,-2.1995487976716355,0.0007677582043663
SARM1,1.2364317454193952,0.0007702969986483
KRT33A,-0.3403828391043697,0.0007759377582193
CD19,1.8993849669706453,0.0007785148262201
PROS1,-0.4926981917605317,0.0007866491980108
SH3PXD2A,-0.8616292883940924,0.000787015753358
TNIP1,0.5053630390711064,0.0007878724499304
USP14,0.4509962648564549,0.0007915612153025
SLC1A4,-1.1601047229465653,0.0007931576231051
RAD51,1.4857315274682277,0.000798827568478
PAM16,-0.4314726286254533,0.0008011126142774
DLST,-0.4732942284221106,0.0008166893530538
ACBD3,-0.8110979612619209,0.0008203540632101
RUNDC3A,-1.586519878343858,0.00082155966546
RNF170,0.7316917784152501,0.0008286838747672
IRF2,0.4623464202137644,0.0008367320229304
AP3D1,-2.831751473394826,0.0008367669057838
STAMBP,0.3144443164179513,0.0008390382304017
SLC1A5,-0.7044380634287073,0.0008503977780892
RBFADN,-1.7419275008919994,0.0008522453785234
